"Concept"	"Feature"
"2260"	"cushion"	"has_feather_filling"
"2261"	"cushion"	"has_filling"
"2262"	"cushion"	"has_foam_filling"
"2263"	"cushion"	"is_comfortable"
"2264"	"cushion"	"is_round"
"2265"	"cushion"	"is_small"
"2266"	"cushion"	"is_soft"
"2267"	"cushion"	"is_square"
"2268"	"cushion"	"used_by_sitting_on"
"2269"	"cushion"	"used_for_resting_head"
"2270"	"cushion"	"used_for_sleeping"
"2387"	"dolphin"	"a_fish"
"2388"	"dolphin"	"a_mammal"
"2389"	"dolphin"	"an_animal"
"2390"	"dolphin"	"beh_-_communicates"
"2391"	"dolphin"	"beh_-_does_tricks"
"2392"	"dolphin"	"beh_-_eats"
"2393"	"dolphin"	"beh_-_eats_fish"
"2394"	"dolphin"	"beh_-_jumps"
"2395"	"dolphin"	"beh_-_makes_noises"
"2396"	"dolphin"	"beh_-_swims"
"2397"	"dolphin"	"beh_-_swims_fast"
"2398"	"dolphin"	"has_fins"
"2399"	"dolphin"	"is_caught_in_nets"
"2400"	"dolphin"	"is_cute"
"2401"	"dolphin"	"is_friendly"
"2402"	"dolphin"	"is_grey"
"2403"	"dolphin"	"is_intelligent"
"2404"	"dolphin"	"is_sleek"
"2405"	"dolphin"	"is_smooth"
"2406"	"dolphin"	"is_trainable"
"2407"	"dolphin"	"lives_in_oceans"
"2408"	"dolphin"	"lives_in_seas"
"2409"	"dolphin"	"lives_in_water"
"2496"	"dresser"	"found_in_bedrooms"
"2497"	"dresser"	"furniture"
"2498"	"dresser"	"has_drawers"
"2499"	"dresser"	"has_handles"
"2500"	"dresser"	"has_mirrors"
"2501"	"dresser"	"is_heavy"
"2502"	"dresser"	"is_large"
"2503"	"dresser"	"is_rectangular"
"2504"	"dresser"	"made_of_wood"
"2505"	"dresser"	"used_for_storage"
"2506"	"dresser"	"used_for_storing_clothing"
"2531"	"duck"	"a_bird"
"2532"	"duck"	"an_animal"
"2533"	"duck"	"beh_-_eats"
"2534"	"duck"	"beh_-_flies"
"2535"	"duck"	"beh_-_lays_eggs"
"2536"	"duck"	"beh_-_migrates"
"2537"	"duck"	"beh_-_quacks"
"2538"	"duck"	"beh_-_swims"
"2539"	"duck"	"beh_-_waddles"
"2540"	"duck"	"eg_-_mallard"
"2541"	"duck"	"has_a_beak"
"2542"	"duck"	"has_a_bill"
"2543"	"duck"	"has_feathers"
"2544"	"duck"	"has_feet"
"2545"	"duck"	"has_webbed_feet"
"2546"	"duck"	"has_wings"
"2547"	"duck"	"hunted_by_people"
"2548"	"duck"	"is_edible"
"2549"	"duck"	"lives_in_ponds"
"2550"	"duck"	"lives_on_water"
"2551"	"dunebuggy"	"a_car"
"2552"	"dunebuggy"	"a_vehicle"
"2553"	"dunebuggy"	"has_4_wheels"
"2554"	"dunebuggy"	"has_an_engine"
"2555"	"dunebuggy"	"has_large_wheels"
"2556"	"dunebuggy"	"has_no_roof"
"2557"	"dunebuggy"	"has_roll_bars"
"2558"	"dunebuggy"	"has_wheels"
"2559"	"dunebuggy"	"is_fast"
"2560"	"dunebuggy"	"is_fun"
"2561"	"dunebuggy"	"is_loud"
"2562"	"dunebuggy"	"used_for_transportation"
"2563"	"dunebuggy"	"used_in_deserts"
"2564"	"dunebuggy"	"used_on_beaches"
"2565"	"dunebuggy"	"used_on_sand"
"2566"	"eagle"	"a_bird"
"2567"	"eagle"	"a_carnivore"
"2568"	"eagle"	"a_predator"
"2569"	"eagle"	"beh_-_builds_nests"
"2570"	"eagle"	"beh_-_eats"
"2571"	"eagle"	"beh_-_flies"
"2572"	"eagle"	"beh_-_lays_eggs"
"2573"	"eagle"	"has_a_beak"
"2574"	"eagle"	"has_claws"
"2575"	"eagle"	"has_feathers"
"2576"	"eagle"	"has_wings"
"2577"	"eagle"	"is_bald"
"2578"	"eagle"	"is_endangered"
"2579"	"eagle"	"is_large"
"2580"	"eagle"	"lives_in_mountains"
"2581"	"eagle"	"symbol_of_freedom"
"2582"	"eagle"	"symbol_of_U.S."
"2790"	"finch"	"a_bird"
"2791"	"finch"	"beh_-_builds_nests"
"2792"	"finch"	"beh_-_eats"
"2793"	"finch"	"beh_-_flies"
"2794"	"finch"	"beh_-_sings"
"2795"	"finch"	"has_a_beak"
"2796"	"finch"	"has_feathers"
"2797"	"finch"	"has_wings"
"2798"	"finch"	"is_small"
"2799"	"finch"	"is_yellow"
"3047"	"goose"	"a_bird"
"3048"	"goose"	"an_animal"
"3049"	"goose"	"beh_-_flies"
"3050"	"goose"	"beh_-_honks"
"3051"	"goose"	"beh_-_lays_eggs"
"3052"	"goose"	"beh_-_migrates"
"3053"	"goose"	"has_a_beak"
"3054"	"goose"	"has_feathers"
"3055"	"goose"	"has_feet"
"3056"	"goose"	"has_webbed_feet"
"3057"	"goose"	"has_wings"
"3058"	"goose"	"is_edible"
"3059"	"goose"	"is_large"
"3060"	"goose"	"is_white"
"3061"	"goose"	"lives_in_Canada"
"3312"	"hawk"	"a_bird"
"3313"	"hawk"	"a_predator"
"3314"	"hawk"	"beh_-_eats_mice"
"3315"	"hawk"	"beh_-_eats_rodents"
"3316"	"hawk"	"beh_-_flies"
"3317"	"hawk"	"beh_-_sees_well"
"3318"	"hawk"	"beh_-_soars"
"3319"	"hawk"	"has_a_beak"
"3320"	"hawk"	"has_claws"
"3321"	"hawk"	"has_eyes"
"3322"	"hawk"	"has_feathers"
"3323"	"hawk"	"has_wings"
"3324"	"hawk"	"is_large"
"3347"	"hoe"	"a_tool"
"3348"	"hoe"	"has_a_blade"
"3349"	"hoe"	"has_a_handle"
"3350"	"hoe"	"has_a_long_handle"
"3351"	"hoe"	"has_a_metal_blade"
"3352"	"hoe"	"has_a_wooden_handle"
"3353"	"hoe"	"has_an_end"
"3354"	"hoe"	"is_long"
"3355"	"hoe"	"made_of_metal"
"3356"	"hoe"	"used_for_aerating_soil"
"3357"	"hoe"	"used_for_digging"
"3358"	"hoe"	"used_for_farming"
"3359"	"hoe"	"used_for_gardening"
"3360"	"hoe"	"used_for_tilling_soil"
"3361"	"hoe"	"used_for_weeding"
"3538"	"jar"	"a_container"
"3539"	"jar"	"has_a_label"
"3540"	"jar"	"has_a_lid"
"3541"	"jar"	"has_a_screw_on_lid"
"3542"	"jar"	"is_breakable"
"3543"	"jar"	"is_transparent"
"3544"	"jar"	"made_of_glass"
"3545"	"jar"	"made_of_plastic"
"3546"	"jar"	"used_for_holding_food"
"3547"	"jar"	"used_for_holding_jam"
"3548"	"jar"	"used_for_holding_things"
"3549"	"jar"	"used_for_preserves"
"3564"	"jeep"	"a_car"
"3565"	"jeep"	"a_vehicle"
"3566"	"jeep"	"has_4_wheels"
"3567"	"jeep"	"has_a_roof"
"3568"	"jeep"	"has_four-wheel_drive"
"3569"	"jeep"	"has_wheels"
"3570"	"jeep"	"is_convertible"
"3571"	"jeep"	"is_green"
"3572"	"jeep"	"is_high_off_ground"
"3573"	"jeep"	"is_open"
"3574"	"jeep"	"used_by_the_army"
"3575"	"jeep"	"used_for_off_roading"
"3576"	"jeep"	"used_for_rugged_terrain"
"3577"	"jeep"	"used_in_summer"
"3690"	"lamp"	"found_on_floors"
"3691"	"lamp"	"found_on_tables"
"3692"	"lamp"	"furniture"
"3693"	"lamp"	"has_a_cord"
"3694"	"lamp"	"has_a_shade"
"3695"	"lamp"	"has_a_switch"
"3696"	"lamp"	"has_lightbulbs"
"3697"	"lamp"	"inbeh_-_produces_heat"
"3698"	"lamp"	"is_bright"
"3699"	"lamp"	"is_electrical"
"3700"	"lamp"	"requires_oil"
"3701"	"lamp"	"used_by_hanging"
"3702"	"lamp"	"used_by_hanging_from_ceilings"
"3703"	"lamp"	"used_for_making_light"
"3910"	"mat"	"a_rug"
"3911"	"mat"	"found_by_doors"
"3912"	"mat"	"found_in_bathrooms"
"3913"	"mat"	"found_in_cars"
"3914"	"mat"	"found_on_floors"
"3915"	"mat"	"is_small"
"3916"	"mat"	"made_of_material"
"3917"	"mat"	"made_of_rubber"
"3918"	"mat"	"used_for_covering_floors"
"3919"	"mat"	"used_for_protecting_things"
"3920"	"mat"	"used_for_welcoming"
"3921"	"mat"	"used_for_wiping_feet"
"3922"	"mat"	"used_for_wiping_shoes"
"3958"	"microwave"	"an_appliance"
"3959"	"microwave"	"an_oven"
